Suma de item_id,title
225,101 Dalmatians (1996)
178,12 Angry Men (1957)
330,187 (1997)
1353,1-900 (1994)
1011,2 Days in the Valley (1996)
141,"20,000 Leagues Under the Sea (1954)"
135,2001: A Space Odyssey (1968)
314,3 Ninjas: High Noon At Mega Mountain (1998)
615,"39 Steps, The (1935)"
1021,8 1/2 (1963)
1664,8 Heads in a Duffel Bag (1997)
1443,8 Seconds (1994)
1251,A Chef in Love (1996)
1633,Á köldum klaka (Cold Fever) (1994)
1440,Above the Rim (1994)
291,Absolute Power (1997)
164,"Abyss, The (1989)"
67,Ace Ventura: Pet Detective (1994)
364,Ace Ventura: When Nature Calls (1995)
757,Across the Sea of Time (1995)
386,Addams Family Values (1993)
535,Addicted to Love (1997)
767,"Addiction, The (1995)"
1060,"Adventures of Pinocchio, The (1996)"
382,"Adventures of Priscilla, Queen of the Desert, The (1994)"
491,"Adventures of Robin Hood, The (1938)"
966,"Affair to Remember, An (1957)"
498,"African Queen, The (1951)"
903,Afterglow (1997)
387,"Age of Innocence, The (1993)"
1536,Aiqing wansui (1994)
261,Air Bud (1997)
300,Air Force One (1997)
801,"Air Up There, The (1994)"
940,Airheads (1994)
206,Akira (1988)
95,Aladdin (1992)
422,Aladdin and the King of Thieves (1996)
828,Alaska (1996)
1083,Albino Alligator (1996)
420,Alice in Wonderland (1951)
183,Alien (1979)
665,Alien 3 (1992)
343,Alien: Resurrection (1997)
176,Aliens (1986)
606,All About Eve (1950)
103,All Dogs Go to Heaven 2 (1996)
1538,All Over Me (1997)
1619,All Things Fair (1996)
1154,Alphaville (1965)
191,Amadeus (1984)
1069,Amateur (1994)
1540,"Amazing Panda Adventure, The (1995)"
1335,American Buffalo (1996)
1585,American Dream (1990)
602,"American in Paris, An (1951)"
692,"American President, The (1995)"
1362,American Strays (1996)
436,"American Werewolf in London, An (1981)"
750,Amistad (1997)
437,Amityville 1992: It's About Time (1992)
438,Amityville 3-D (1983)
442,"Amityville Curse, The (1990)"
441,"Amityville Horror, The (1979)"
440,Amityville II: The Possession (1982)
439,Amityville: A New Generation (1993)
858,Amityville: Dollhouse (1996)
1206,Amos & Andrew (1993)
1330,An Unforgettable Summer (1994)
1013,Anaconda (1997)
538,Anastasia (1997)
812,Andre (1994)
1454,Angel and the Badman (1947)
1643,Angel Baby (1995)
1453,Angel on My Shoulder (1946)
1603,Angela (1995)
20,Angels and Insects (1995)
623,Angels in the Outfield (1994)
1225,Angus (1995)
1398,Anna (1996)
990,Anna Karenina (1997)
1084,Anne Frank Remembered (1995)
514,Annie Hall (1977)
571,Another Stakeout (1993)
19,Antonia's Line (1995)
1558,Aparajito (1956)
481,"Apartment, The (1960)"
180,Apocalypse Now (1979)
28,Apollo 13 (1995)
344,"Apostle, The (1997)"
415,"Apple Dumpling Gang, The (1975)"
859,April Fool's Day (1986)
315,Apt Pupil (1998)
102,"Aristocats, The (1970)"
184,Army of Darkness (1993)
495,Around the World in 80 Days (1956)
825,"Arrival, The (1996)"
659,Arsenic and Old Lace (1944)
316,As Good As It Gets (1997)
1217,Assassins (1995)
359,"Assignment, The (1997)"
1051,"Associate, The (1996)"
667,Audrey Rose (1977)
1325,August (1996)
249,Austin Powers: International Man of Mystery (1997)
1227,"Awfully Big Adventure, An (1995)"
1294,Ayn Rand: A Sense of Life (1997)
1609,B*A*P*S (1997)
1679,B. Monkey (1998)
8,Babe (1995)
1308,Babyfever (1994)
1508,"Babysitter, The (1995)"
791,"Baby-Sitters Club, The (1995)"
204,Back to the Future (1985)
1153,Backbeat (1993)
27,Bad Boys (1995)
798,Bad Company (1995)
1247,Bad Girls (1994)
706,Bad Moon (1996)
854,Bad Taste (1987)
1347,"Ballad of Narayama, The (Narayama Bushiko) (1958)"
1066,Balto (1995)
502,Bananas (1971)
1298,"Band Wagon, The (1953)"
1215,Barb Wire (1996)
1411,Barbarella (1968)
702,Barcelona (1994)
159,Basic Instinct (1992)
697,"Basketball Diaries, The (1995)"
1010,Basquiat (1996)
454,Bastard Out of Carolina (1996)
254,Batman & Robin (1997)
403,Batman (1989)
29,Batman Forever (1995)
231,Batman Returns (1992)
1579,Baton Rouge (1988)
338,Bean (1997)
1541,"Beans of Egypt, Maine, The (1994)"
1456,Beat the Devil (1954)
988,"Beautician and the Beast, The (1997)"
762,Beautiful Girls (1996)
1137,Beautiful Thing (1996)
588,Beauty and the Beast (1991)
240,Beavis and Butt-head Do America (1996)
278,Bed of Roses (1996)
142,Bedknobs and Broomsticks (1971)
1284,Before and After (1996)
955,Before Sunrise (1995)
1193,Before the Rain (Pred dozhdot) (1994)
1539,Being Human (1993)
663,Being There (1979)
860,"Believers, The (1987)"
30,Belle de jour (1967)
526,Ben-Hur (1959)
747,Benny & Joon (1993)
891,Bent (1997)
1138,Best Men (1997)
1250,Best of the Best 3: No Turning Back (1995)
710,Better Off Dead... (1985)
1030,"Beverly Hillbillies, The (1993)"
388,Beverly Hills Cop III (1994)
456,Beverly Hills Ninja (1997)
1504,"Bewegte Mann, Der (1994)"
784,Beyond Bedlam (1993)
1107,Beyond Rangoon (1995)
1475,Bhaji on the Beach (1993)
1235,"Big Bang Theory, The (1994)"
947,"Big Blue, The (Grand bleu, Le) (1988)"
1165,Big Bully (1996)
996,"Big Green, The (1995)"
902,"Big Lebowski, The (1998)"
137,Big Night (1996)
1649,"Big One, The (1997)"
525,"Big Sleep, The (1946)"
598,"Big Squeeze, The (1996)"
41,Billy Madison (1995)
368,Bio-Dome (1996)
1364,Bird of Prey (1996)
25,"Birdcage, The (1996)"
443,"Birds, The (1963)"
1268,Bitter Moon (1992)
1639,Bitter Sugar (Azucar Amargo) (1996)
389,Black Beauty (1994)
369,Black Sheep (1996)
89,Blade Runner (1982)
1248,Blink (1994)
1173,Bliss (1997)
444,"Blob, The (1958)"
985,Blood & Wine (1997)
668,Blood Beach (1981)
666,Blood For Dracula (Andy Warhol's Dracula) (1974)
1087,Bloodsport 2 (1995)
852,"Bloody Child, The (1996)"
572,Blown Away (1994)
617,"Blue Angel, The (Blaue Engel, Der) (1930)"
1145,Blue Chips (1994)
952,Blue in the Face (1995)
1211,Blue Sky (1994)
362,Blues Brothers 2000 (1998)
186,"Blues Brothers, The (1980)"
425,Bob Roberts (1992)
669,Body Parts (1991)
445,"Body Snatcher, The (1945)"
1243,Body Snatchers (1993)
832,Bogus (1996)
1382,"Bonheur, Le (1965)"
504,Bonnie and Clyde (1967)
340,Boogie Nights (1997)
765,Boomerang (1992)
515,"Boot, Das (1981)"
948,Booty Call (1997)
1067,Bottle Rocket (1996)
129,Bound (1996)
574,Boxing Helena (1993)
1326,Boys (1996)
1359,Boys in Venice (1996)
799,Boys Life (1995)
1405,Boy's Life 2 (1997)
1192,"Boys of St. Vincent, The (1993)"
723,Boys on the Side (1995)
1463,"Boys, Les (1997)"
401,"Brady Bunch Movie, The (1995)"
853,Braindead (1992)
217,Bram Stoker's Dracula (1992)
936,Brassed Off (1996)
22,Braveheart (1995)
175,Brazil (1985)
1266,Bread and Chocolate (Pane e cioccolata) (1973)
295,Breakdown (1997)
131,Breakfast at Tiffany's (1961)
221,Breaking the Waves (1996)
671,Bride of Frankenstein (1935)
199,"Bridge on the River Kwai, The (1957)"
371,"Bridges of Madison County, The (1995)"
497,Bringing Up Baby (1938)
546,Broken Arrow (1996)
1255,Broken English (1996)
467,"Bronx Tale, A (1993)"
75,Brother Minister: The Assassination of Malcolm X (1994)
1636,Brothers in Trouble (1995)
1665,"Brother's Kiss, A (1997)"
26,"Brothers McMullen, The (1995)"
698,"Browning Version, The (1994)"
1608,Buddy (1997)
833,Bulletproof (1996)
792,Bullets Over Broadway (1994)
753,Burnt By the Sun (1994)
446,Burnt Offerings (1976)
1246,Bushwhacked (1995)
435,Butch Cassidy and the Sundance Kid (1969)
3295,"Butcher Boy, The (1998)"
1621,Butterfly Kiss (1995)
1446,"Bye Bye, Love (1995)"
998,Cabin Boy (1994)
122,"Cable Guy, The (1996)"
1146,Calendar Girl (1993)
719,Canadian Bacon (1994)
503,"Candidate, The (1972)"
672,Candyman (1992)
816,Candyman: Farewell to the Flesh (1995)
673,Cape Fear (1962)
218,Cape Fear (1991)
1327,Captives (1994)
874,Career Girls (1997)
1567,Careful (1992)
76,Carlito's Way (1993)
1307,Carmen Miranda: Bananas Is My Business (1994)
1403,Caro Diario (Dear Diary) (1994)
1496,Carpool (1996)
447,Carrie (1976)
1085,Carried Away (1996)
714,Carrington (1995)
483,Casablanca (1942)
693,Casino (1995)
768,Casper (1995)
777,Castle Freak (1995)
499,Cat on a Hot Tin Roof (1958)
674,Cat People (1982)
989,Cats Don't Dance (1997)
1318,Catwalk (1995)
1174,Caught (1996)
1080,Celestial Clockwork (1994)
813,"Celluloid Closet, The (1995)"
1291,Celtic Pride (1996)
1375,"Cement Garden, The (1993)"
1199,Cemetery Man (Dellamorte Dellamore) (1994)
1447,Century (1993)
1623,"Cérémonie, La (1995)"
1104,C'est arrivé près de chez vous (1992)
930,Chain Reaction (1996)
2888,Chairman of the Board (1998)
620,"Chamber, The (1996)"
945,Charade (1963)
1489,Chasers (1994)
514,Chasing Amy (1997)
424,Children of the Corn: The Gathering (1996)
1511,Children of the Revolution (1996)
654,Chinatown (1974)
633,"Christmas Carol, A (1938)"
1129,Chungking Express (1994)
1402,"Ciao, Professore! (1993)"
418,Cinderella (1950)
170,Cinema Paradiso (1988)
724,Circle of Friends (1995)
134,Citizen Kane (1941)
236,Citizen Ruth (1996)
696,City Hall (1996)
918,City of Angels (1998)
1598,City of Industry (1997)
919,"City of Lost Children, The (1995)"
575,City Slickers II: The Legend of Curly's Gold (1994)
999,Clean Slate (1994)
1560,Clean Slate (Coup de Torchon) (1981)
566,Clear and Present Danger (1994)
42,Clerks (1994)
356,"Client, The (1994)"
576,Cliffhanger (1993)
1267,Clockers (1995)
179,"Clockwork Orange, A (1971)"
408,"Close Shave, A (1995)"
367,Clueless (1995)
1112,Cobb (1994)
116,Cold Comfort Farm (1995)
1414,Coldblooded (1995)
1578,"Collectionneuse, La (1967)"
1485,"Colonel Chabert, Le (1994)"
1273,Color of Night (1994)
1096,Commandments (1997)
1016,Con Air (1997)
679,Conan the Barbarian (1981)
1556,Condition Red (1995)
577,Coneheads (1993)
769,Congo (1995)
328,Conspiracy Theory (1997)
258,Contact (1997)
1252,"Contempt (Mépris, Le) (1963)"
1342,"Convent, The (Convento, O) (1995)"
640,"Cook the Thief His Wife & Her Lover, The (1989)"
523,Cool Hand Luke (1967)
1035,Cool Runnings (1993)
327,Cop Land (1997)
1182,Cops and Robbersons (1994)
5,Copycat (1995)
731,"Corrina, Corrina (1994)"
1537,Cosi (1996)
1290,Country Life (1994)
471,Courage Under Fire (1996)
1183,"Cowboy Way, The (1994)"
928,"Craft, The (1996)"
325,Crash (1996)
31,Crimson Tide (1995)
341,Critical Care (1997)
1056,Cronos (1992)
793,Crooklyn (1994)
1064,Crossfire (1947)
460,"Crossing Guard, The (1995)"
68,"Crow, The (1994)"
743,"Crow: City of Angels, The (1996)"
1350,Crows and Sparrows (1949)
676,"Crucible, The (1996)"
1340,"Crude Oasis, The (1995)"
32,Crumb (1994)
459,"Cry, the Beloved Country (1995)"
631,"Crying Game, The (1992)"
1081,Curdled (1996)
1468,"Cure, The (1995)"
1239,Cutthroat Island (1995)
1156,Cyclo (1995)
207,Cyrano de Bergerac (1990)
138,D3: The Mighty Ducks (1996)
1641,Dadetown (1995)
1565,Daens (1992)
1458,"Damsel in Distress, A (1937)"
97,Dances with Wolves (1990)
909,Dangerous Beauty (1998)
981,Dangerous Ground (1997)
366,Dangerous Minds (1995)
600,Daniel Defoe's Robinson Crusoe (1996)
323,Dante's Peak (1997)
691,Dark City (1998)
732,Dave (1993)
621,"Davy Crockett, King of the Wild Frontier (1955)"
429,"Day the Earth Stood Still, The (1951)"
1345,"Day the Sun Turned Cold, The (Tianguo niezi) (1994)"
827,Daylight (1996)
849,Days of Thunder (1990)
533,"Daytrippers, The (1996)"
959,Dazed and Confused (1993)
